,site_name,name,genus_species,genus,species,body_part,year_found,likely_age,minimum_age,maximum_age,discoverers,citation_group,notes,lon,lat
129,"Zhoukoudian, China",Pecking man,Homo erectus,Homo ,erectus,cranium,1927,0.77,0.68,0.78,Davidson Black,58,NA,115.9298599,39.6900895
130,"Gran Dolina, Sierra de Atapuerca, Spain",ATD6-69,Homo  antecessor,Homo ,antecessor,partial cranium,1995,NA,0.78,0.93,Bermudez de Castro,59,discoverers unspecified but within Bermudez de Castro et al. 1997,-3.5225957,42.3662113
131,"Gran Dolina, Sierra de Atapuerca, Spain",ATD6-58,Homo  antecessor,Homo ,antecessor,partial cranium,1995,NA,0.78,0.93,Bermudez de Castro et al.,59,NA,-3.5225957,42.3662113
132,"Gran Dolina, Sierra de Atapuerca, Spain",ATD6-19,Homo  antecessor,Homo ,antecessor,partial cranium,1995,NA,0.78,0.93,Bermudez de Castro et al.,59,NA,-3.5225957,42.3662113
133,"Danakil, Eritrea",UA 31,Homo erectus,Homo ,erectus,cranium,1995,NA,0.6,1.4,Ernesto Abbate,60,NA,41.9196471,11.8763843
134,"Gruta da Aroeira, Portugal",Aroeira 3 ,Homo  heidelbergensis ,Homo ,heidelbergensis ,cranium,2013,NA,0.39,0.436,Joao Zilhao ,61,NA,-8.6157936,39.5057016
135,"Mala Balanica, Serbia",BH-1,Homo  heidelbergensis ,Homo ,heidelbergensis ,mandible,NA,0.4,NA,NA,NA,62,NA,43.31567348,22.14744855
136,"Boxgrove, United Kingdom",Boxgrove Man,Homo  heidelbergensis ,Homo ,heidelbergensis ,tibia,1993,0.5,NA,NA,Mark Roberts,63,NA,-0.7126017,50.859304
137,"Jiefang village, Shaanxi Province, China",Dali man,Homo erectus,Homo ,erectus,complete ,1978,NA,0.2583,0.267,Shuntang Liu,64,possibly Homo sapiens neanderthalensis ,109.1880047,35.3939908
138,"Bloemfontein, Free State Province, South Africa",Florisbad skull,Homo NA,Homo ,NA,cranium,1932,0.259,0.224,0.294,T.F. Dreyer,66,controversal species classification,26.1595761,-29.085214
139,"Longtandong, Hexian County, Anhui, China",PA 830,Homo  erectus ,Homo ,erectus ,cranium,1980,0.412,0.387,0.437,NA,67,NA,118.353667,31.742293
140,"Jebel Irhound, Morocco ",Irhound 1,Homo sapiens,Homo ,sapiens,cranium,1961,0.286,0.254,0.318,miners,68,NA,-8.8716667,31.88
141,"Jebel Irhound, Morocco ",Irhound 2,Homo sapiens,Homo ,sapiens,cranium,1961,0.286,0.254,0.318,miners,68,NA,-8.8716667,31.88
142,"Jebel Irhound, Morocco ",Irhound 3,Homo sapiens,Homo ,sapiens,mandible,1961,0.286,0.254,0.318,miners,68,NA,-8.8716667,31.88
143,"Jebel Irhound, Morocco ",Irhound 4,Homo sapiens,Homo ,sapiens,ilium,1961,0.286,0.254,0.318,miners,68,NA,-8.8716667,31.88
144,"Jebel Irhound, Morocco ",Irhound 5,Homo sapiens,Homo ,sapiens,mandible,1961,0.286,0.254,0.318,miners,68,NA,-8.8716667,31.88
145,"Burgos, Spain",Skull 5,Homo neanderthalensis,Homo ,neanderthalensis ,cranium ,NA,NA,0.4,0.6,Bischoff et al.,69,discoverers unspecified but within Bischoff et al. 2002,-3.696906,42.3439925
